Partition|NodeList|Group|User|JobName|JobID|Submit|Start|End|ExitCode|CPUTimeRAW|TRESUsageInTot|TRESUsageOutTot|MaxVMSize|AllocCPUS|NTasks|Cluster|TimelimitRaw|ReqMem|
|gpu-20-6|||batch|8245.batch|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:12|0:15|158425|cpu=00:00:00,energy=0,fs/disk=107754,mem=4552K,pages=0,vmem=143536K|energy=0,fs/disk=227|143536K|1|1|redraider||9639Mc|
|gpu-20-6|||extern|8245.extern|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424|cpu=00:00:00,energy=0,fs/disk=2188,mem=0,pages=0,vmem=143220K|energy=0,fs/disk=0|143220K|1|1|redraider||9639Mc|
|gpu-20-6|||run.sh|8245.0|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:44|0:15|158457|cpu=1-19:48:07,energy=0,fs/disk=16231900,mem=6832368K,pages=76725,vmem=146436K|energy=0,fs/disk=43012|146436K|1|1|redraider||9639Mc|
matador|gpu-21-1|chem|rliang|job26|8246|2020-10-31T11:11:46|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424||||1||redraider|2640|9639Mc|
|gpu-21-1|||batch|8246.batch|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:12|0:15|158425|cpu=00:00:00,energy=0,fs/disk=107745,mem=4560K,pages=0,vmem=143524K|energy=0,fs/disk=227|143524K|1|1|redraider||9639Mc|
|gpu-21-1|||extern|8246.extern|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424|cpu=00:00:00,energy=0,fs/disk=2188,mem=0,pages=0,vmem=4352K|energy=0,fs/disk=0|4352K|1|1|redraider||9639Mc|
|gpu-21-1|||run.sh|8246.0|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:44|0:15|158457|cpu=1-19:48:35,energy=0,fs/disk=16231900,mem=7194460K,pages=70356,vmem=146436K|energy=0,fs/disk=43012|146436K|1|1|redraider||9639Mc|
matador|gpu-20-8|chem|rliang|job27|8247|2020-10-31T11:11:46|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424||||1||redraider|2640|9639Mc|
|gpu-20-8|||batch|8247.batch|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:12|0:15|158425|cpu=00:00:00,energy=0,fs/disk=107754,mem=4556K,pages=0,vmem=143536K|energy=0,fs/disk=227|143536K|1|1|redraider||9639Mc|
|gpu-20-8|||extern|8247.extern|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:11|0:0|158424|cpu=00:00:00,energy=0,fs/disk=2188,mem=0,pages=0,vmem=143220K|energy=0,fs/disk=0|143220K|1|1|redraider||9639Mc|
|gpu-20-8|||run.sh|8247.0|2020-10-31T11:11:47|2020-10-31T11:11:47|2020-11-02T06:12:44|0:15|158457|cpu=1-19:48:06,energy=0,fs/disk=16231903,mem=6600008K,pages=81114,vmem=146436K|energy=0,fs/disk=43012|146436K|1|1|redraider||9639Mc|
