 Partition        NodeList     Group      User    JobName        JobID              Submit               Start                 End ExitCode CPUTimeRAW TRESUsageInTot TRESUsageOutTot  MaxVMSize  AllocCPUS   NTasks    Cluster TimelimitR     ReqMem 
---------- --------------- --------- --------- ---------- ------------ ------------------- ------------------- ------------------- -------- ---------- -------------- --------------- ---------- ---------- -------- ---------- ---------- ---------- 
                  gpu-20-5                         extern 8244.extern  2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424 cpu=00:00:00,+ energy=0,fs/di+      4352K          1        1  redraider                9639Mc 
                  gpu-20-5                         run.sh 8244.0       2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:44     0:15     158457 cpu=1-19:49:0+ energy=0,fs/di+    146436K          1        1  redraider                9639Mc 
   matador        gpu-20-6      chem    rliang      job25 8245         2020-10-31T11:11:46 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424                                                    1           redraider       2640     9639Mc 
                  gpu-20-6                          batch 8245.batch   2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:12     0:15     158425 cpu=00:00:00,+ energy=0,fs/di+    143536K          1        1  redraider                9639Mc 
                  gpu-20-6                         extern 8245.extern  2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424 cpu=00:00:00,+ energy=0,fs/di+    143220K          1        1  redraider                9639Mc 
                  gpu-20-6                         run.sh 8245.0       2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:44     0:15     158457 cpu=1-19:48:0+ energy=0,fs/di+    146436K          1        1  redraider                9639Mc 
   matador        gpu-21-1      chem    rliang      job26 8246         2020-10-31T11:11:46 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424                                                    1           redraider       2640     9639Mc 
                  gpu-21-1                          batch 8246.batch   2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:12     0:15     158425 cpu=00:00:00,+ energy=0,fs/di+    143524K          1        1  redraider                9639Mc 
                  gpu-21-1                         extern 8246.extern  2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424 cpu=00:00:00,+ energy=0,fs/di+      4352K          1        1  redraider                9639Mc 
                  gpu-21-1                         run.sh 8246.0       2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:44     0:15     158457 cpu=1-19:48:3+ energy=0,fs/di+    146436K          1        1  redraider                9639Mc 
   matador        gpu-20-8      chem    rliang      job27 8247         2020-10-31T11:11:46 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424                                                    1           redraider       2640     9639Mc 
                  gpu-20-8                          batch 8247.batch   2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:12     0:15     158425 cpu=00:00:00,+ energy=0,fs/di+    143536K          1        1  redraider                9639Mc 
                  gpu-20-8                         extern 8247.extern  2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424 cpu=00:00:00,+ energy=0,fs/di+    143220K          1        1  redraider                9639Mc 
                  gpu-20-8                         run.sh 8247.0       2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:44     0:15     158457 cpu=1-19:48:0+ energy=0,fs/di+    146436K          1        1  redraider                9639Mc 
   matador        gpu-20-9      chem    rliang      job28 8248         2020-10-31T11:11:46 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424                                                    1           redraider       2640     9639Mc 
                  gpu-20-9                          batch 8248.batch   2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:13     0:15     158426 cpu=00:00:00,+ energy=0,fs/di+    143536K          1        1  redraider                9639Mc 
